,Số phòng ngủ,Diện tích,Giá/m2
4873,3 phòng,109 m²,"27,06 triệu/m²"
4874,4 phòng,35 m²,80 triệu/m²
4875,3 phòng,70 m²,"168,57 triệu/m²"
4876,5 phòng,50 m²,90 triệu/m²
4877,2 phòng,43 m²,"79,07 triệu/m²"
4878,nhiều hơn 10 phòng,88.5 m²,"215,91 triệu/m²"
4879,4 phòng,28 m²,"117,86 triệu/m²"
4880,7 phòng,46 m²,"93,48 triệu/m²"
4881,5 phòng,59 m²,"130,49 triệu/m²"
4882,3 phòng,21 m²,"87,14 triệu/m²"
4883,5 phòng,44 m²,"86,36 triệu/m²"
4884,4 phòng,30 m²,"71,67 triệu/m²"
4885,4 phòng,30 m²,"103,33 triệu/m²"
4886,10 phòng,82 m²,"119,63 triệu/m²"
4887,3 phòng,30 m²,"103,33 triệu/m²"
4888,3 phòng,50 m²,110 triệu/m²
4889,2 phòng,30 m²,"17,67 triệu/m²"
4890,1 phòng,44 m²,100 triệu/m²
4891,2 phòng,27 m²,"61,11 triệu/m²"
4892,4 phòng,69 m²,"36,23 triệu/m²"
4893,3 phòng,40 m²,67 triệu/m²
4894,3 phòng,76 m²,"94,74 triệu/m²"
4895,2 phòng,50 m²,171 triệu/m²
4896,4 phòng,80 m²,"62,5 triệu/m²"
4897,4 phòng,58 m²,"56,03 triệu/m²"
4898,3 phòng,45 m²,100 triệu/m²
4899,2 phòng,45 m²,"191,11 triệu/m²"
4900,3 phòng,25 m²,118 triệu/m²
4901,4 phòng,43 m²,"120,93 triệu/m²"
4902,3 phòng,50 m²,116 triệu/m²
4903,4 phòng,55 m²,"90,91 triệu/m²"
4904,6 phòng,40 m²,"100,13 triệu/m²"
4905,2 phòng,30 m²,"18,33 triệu/m²"
4906,3 phòng,30 m²,"78,33 triệu/m²"
4907,3 phòng,42 m²,"66,67 triệu/m²"
4908,4 phòng,62 m²,"85,48 triệu/m²"
4909,3 phòng,30 m²,105 triệu/m²
4910,3 phòng,47 m²,"106,38 triệu/m²"
4911,4 phòng,45 m²,"62,22 triệu/m²"
4912,5 phòng,40 m²,"73,75 triệu/m²"
4913,5 phòng,34 m²,"104,41 triệu/m²"
4914,6 phòng,65 m²,"106,15 triệu/m²"
4915,3 phòng,50 m²,79 triệu/m²
4916,4 phòng,36 m²,"55,56 triệu/m²"
4917,4 phòng,33 m²,"74,24 triệu/m²"
4918,6 phòng,64 m²,"46,88 triệu/m²"
4919,3 phòng,30 m²,"113,33 triệu/m²"
4920,4 phòng,30 m²,"373,33 triệu/m²"
4921,nhiều hơn 10 phòng,53 m²,"235,85 triệu/m²"
4922,6 phòng,38 m²,"105,26 triệu/m²"
4923,3 phòng,34 m²,"38,53 triệu/m²"
4924,4 phòng,65 m²,"76,92 triệu/m²"
4925,4 phòng,41 m²,"85,37 triệu/m²"
4926,5 phòng,46 m²,"106,96 triệu/m²"
4927,4 phòng,35 m²,40 triệu/m²
4928,4 phòng,48 m²,"281,25 triệu/m²"
4929,3 phòng,36 m²,"58,33 triệu/m²"
4930,5 phòng,75 m²,"61,07 triệu/m²"
4931,4 phòng,36 m²,"66,67 triệu/m²"
4932,4 phòng,98 m²,"77,55 triệu/m²"
4933,5 phòng,55 m²,"118,18 triệu/m²"
4934,3 phòng,37 m²,"59,46 triệu/m²"
4935,3 phòng,46 m²,"69,57 triệu/m²"
4936,5 phòng,46 m²,"192,39 triệu/m²"
4937,4 phòng,42 m²,"70,24 triệu/m²"
4938,3 phòng,65 m²,"52,31 triệu/m²"
4939,4 phòng,60 m²,115 triệu/m²
4940,9 phòng,80 m²,"237,5 triệu/m²"
4941,4 phòng,35 m²,"82,86 triệu/m²"
4942,5 phòng,54 m²,"87,96 triệu/m²"
4943,4 phòng,30 m²,"111,67 triệu/m²"
4944,4 phòng,60 m²,"63,33 triệu/m²"
4945,9 phòng,70 m²,170 triệu/m²
4946,4 phòng,75.5 m²,"93,33 triệu/m²"
4947,5 phòng,200 m²,"107,5 triệu/m²"
4948,10 phòng,83 m²,"126,51 triệu/m²"
4949,2 phòng,33 m²,"96,97 triệu/m²"
4950,3 phòng,30 m²,"73,33 triệu/m²"
4951,3 phòng,35 m²,"88,57 triệu/m²"
4952,4 phòng,39 m²,"89,74 triệu/m²"
4953,2 phòng,75 m²,"85,33 triệu/m²"
4954,6 phòng,42 m²,100 triệu/m²
4955,2 phòng,20 m²,65 triệu/m²
4956,3 phòng,50 m²,53 triệu/m²
4957,5 phòng,50 m²,70 triệu/m²
4958,2 phòng,50 m²,171 triệu/m²
4959,4 phòng,101 m²,"68,32 triệu/m²"
4960,4 phòng,28 m²,"105,36 triệu/m²"
4961,3 phòng,30 m²,"83,33 triệu/m²"
4962,4 phòng,45 m²,"126,67 triệu/m²"
4963,4 phòng,50 m²,70 triệu/m²
4964,4 phòng,40 m²,"67,5 triệu/m²"
4965,3 phòng,40 m²,"63,75 triệu/m²"
4966,4 phòng,53 m²,"71,7 triệu/m²"
4967,2 phòng,67 m²,"19,4 triệu/m²"
4968,5 phòng,50 m²,166 triệu/m²
4969,3 phòng,30 m²,95 triệu/m²
4970,4 phòng,60 m²,"41,67 triệu/m²"
4971,3 phòng,25 m²,118 triệu/m²
4972,4 phòng,35 m²,"61,43 triệu/m²"
4973,nhiều hơn 10 phòng,62 m²,"116,13 triệu/m²"
4974,3 phòng,25 m²,106 triệu/m²
4975,4 phòng,37 m²,"68,92 triệu/m²"
4976,4 phòng,33 m²,"106,06 triệu/m²"
4977,4 phòng,39 m²,"64,1 triệu/m²"
4978,3 phòng,48 m²,"104,17 triệu/m²"
4979,3 phòng,35 m²,"82,86 triệu/m²"
4980,4 phòng,32 m²,125 triệu/m²
4981,nhiều hơn 10 phòng,150 m²,"166,67 triệu/m²"
4982,3 phòng,41 m²,"67,07 triệu/m²"
4983,4 phòng,60 m²,"56,67 triệu/m²"
4984,6 phòng,32 m²,100 triệu/m²
4985,3 phòng,37 m²,"97,3 triệu/m²"
4986,3 phòng,41 m²,"69,51 triệu/m²"
4987,4 phòng,35 m²,80 triệu/m²
4988,5 phòng,61 m²,"129,51 triệu/m²"
4989,4 phòng,35 m²,"62,86 triệu/m²"
4990,4 phòng,60 m²,"56,67 triệu/m²"
4991,3 phòng,46 m²,"67,39 triệu/m²"
4992,3 phòng,72 m²,"131,94 triệu/m²"
4993,2 phòng,34 m²,"88,24 triệu/m²"
4994,3 phòng,42 m²,"84,52 triệu/m²"
4995,3 phòng,36 m²,"104,17 triệu/m²"
4996,3 phòng,50 m²,"56,6 triệu/m²"
4997,3 phòng,31 m²,"83,87 triệu/m²"
4998,6 phòng,47 m²,"95,74 triệu/m²"
4999,5 phòng,40 m²,"73,75 triệu/m²"
5000,2 phòng,52 m²,65 triệu/m²
5001,4 phòng,33 m²,"86,36 triệu/m²"
5002,3 phòng,30 m²,"86,67 triệu/m²"
5003,3 phòng,35 m²,"88,57 triệu/m²"
5004,4 phòng,55 m²,"123,64 triệu/m²"
5005,4 phòng,35 m²,100 triệu/m²
5006,4 phòng,40 m²,"82,5 triệu/m²"
5007,2 phòng,18 m²,"69,44 triệu/m²"
5008,3 phòng,49 m²,"130,61 triệu/m²"
5009,9 phòng,45 m²,"94,71 triệu/m²"
5010,nhiều hơn 10 phòng,107 m²,"130,84 triệu/m²"
5011,4 phòng,55 m²,60 triệu/m²
5012,4 phòng,48 m²,"104,17 triệu/m²"
5013,2 phòng,24 m²,"86,46 triệu/m²"
5014,4 phòng,39 m²,"73,08 triệu/m²"
5015,3 phòng,33 m²,"75,76 triệu/m²"
5016,2 phòng,36 m²,"42,5 triệu/m²"
5017,3 phòng,30 m²,"111,67 triệu/m²"
5018,nhiều hơn 10 phòng,100 m²,215 triệu/m²
5019,3 phòng,32 m²,"109,38 triệu/m²"
5020,3 phòng,30 m²,"94,33 triệu/m²"
5021,4 phòng,35 m²,"75,71 triệu/m²"
5022,5 phòng,32 m²,"109,38 triệu/m²"
5023,4 phòng,50 m²,96 triệu/m²
5024,3 phòng,50 m²,72 triệu/m²
5025,3 phòng,32 m²,"78,13 triệu/m²"
5026,4 phòng,30 m²,85 triệu/m²
5027,3 phòng,51 m²,"68,63 triệu/m²"
5028,5 phòng,40 m²,110 triệu/m²
5029,3 phòng,30 m²,"126,67 triệu/m²"
5030,2 phòng,42 m²,"204,76 triệu/m²"
5031,3 phòng,96 m²,"57,29 triệu/m²"
5032,3 phòng,38 m²,"68,42 triệu/m²"
5033,4 phòng,70 m²,"78,57 triệu/m²"
5034,4 phòng,35 m²,"105,71 triệu/m²"
5035,4 phòng,45 m²,"333,33 triệu/m²"
5036,4 phòng,60 m²,"66,67 triệu/m²"
5037,4 phòng,52 m²,"184,62 triệu/m²"
5038,3 phòng,109 m²,"27,06 triệu/m²"
5039,3 phòng,35 m²,"45,71 triệu/m²"
5040,6 phòng,65 m²,"118,46 triệu/m²"
5041,3 phòng,40 m²,155 triệu/m²
5042,2 phòng,35 m²,"71,43 triệu/m²"
5043,3 phòng,18 m²,"88,89 triệu/m²"
5044,3 phòng,37 m²,"97,3 triệu/m²"
5045,3 phòng,32 m²,"49,38 triệu/m²"
5046,4 phòng,50 m²,114 triệu/m²
5047,5 phòng,56 m²,"110,71 triệu/m²"
5048,5 phòng,40 m²,"41,25 triệu/m²"
5049,3 phòng,65 m²,"87,69 triệu/m²"
5050,3 phòng,30 m²,125 triệu/m²
5051,4 phòng,33 m²,"93,94 triệu/m²"
5052,3 phòng,31 m²,"106,45 triệu/m²"
5053,2 phòng,20 m²,65 triệu/m²
5054,4 phòng,63 m²,"76,19 triệu/m²"
5055,3 phòng,30 m²,"76,67 triệu/m²"
5056,3 phòng,27 m²,"74,07 triệu/m²"
5057,3 phòng,31 m²,"241,94 triệu/m²"
5058,3 phòng,30 m²,"106,67 triệu/m²"
5059,3 phòng,35 m²,"102,86 triệu/m²"
5060,3 phòng,33 m²,"49,39 triệu/m²"
5061,nhiều hơn 10 phòng,55 m²,"227,27 triệu/m²"
5062,4 phòng,54 m²,"135,19 triệu/m²"
5063,3 phòng,28 m²,"126,89 triệu/m²"
5064,3 phòng,30 m²,"76,67 triệu/m²"
5065,3 phòng,70 m²,"102,86 triệu/m²"
5066,3 phòng,35 m²,"64,29 triệu/m²"
5067,3 phòng,31 m²,"77,42 triệu/m²"
5068,4 phòng,40 m²,"92,5 triệu/m²"
5069,5 phòng,47 m²,"127,66 triệu/m²"
5070,4 phòng,42 m²,"110,71 triệu/m²"
5071,3 phòng,36 m²,"81,94 triệu/m²"
5072,6 phòng,43 m²,"69,53 triệu/m²"
5073,6 phòng,38 m²,100 triệu/m²
5074,2 phòng,45 m²,"96,67 triệu/m²"
5075,3 phòng,41 m²,"64,63 triệu/m²"
5076,1 phòng,216 m²,"50,93 triệu/m²"
5077,3 phòng,30 m²,100 triệu/m²
5078,4 phòng,42 m²,"95,24 triệu/m²"
5079,5 phòng,50 m²,71 triệu/m²
5080,4 phòng,40 m²,105 triệu/m²
5081,4 phòng,35 m²,"57,14 triệu/m²"
5082,6 phòng,121 m²,"421,49 triệu/m²"
5083,2 phòng,44 m²,"118,18 triệu/m²"
5084,3 phòng,37 m²,"97,3 triệu/m²"
5085,5 phòng,60 m²,130 triệu/m²
5086,4 phòng,38 m²,"85,53 triệu/m²"
5087,3 phòng,60 m²,"57,5 triệu/m²"
5088,4 phòng,40 m²,"66,25 triệu/m²"
5089,3 phòng,46 m²,100 triệu/m²
5090,4 phòng,62 m²,"104,84 triệu/m²"
5091,4 phòng,36 m²,"105,56 triệu/m²"
5092,3 phòng,32 m²,"64,06 triệu/m²"
5093,4 phòng,35 m²,"78,57 triệu/m²"
5094,3 phòng,30 m²,"126,67 triệu/m²"
5095,5 phòng,43 m²,"93,02 triệu/m²"
5096,3 phòng,35 m²,"84,29 triệu/m²"
5097,4 phòng,32 m²,"59,38 triệu/m²"
5098,4 phòng,35 m²,"76,57 triệu/m²"
5099,3 phòng,30 m²,75 triệu/m²
5100,3 phòng,30 m²,"86,67 triệu/m²"
5101,1 phòng,35 m²,"71,43 triệu/m²"
5102,4 phòng,35 m²,"40,57 triệu/m²"
5103,4 phòng,35 m²,80 triệu/m²
5104,6 phòng,86.6 m²,"115,12 triệu/m²"
5105,4 phòng,30 m²,"98,33 triệu/m²"
5106,3 phòng,35 m²,"62,86 triệu/m²"
5107,3 phòng,30 m²,"103,33 triệu/m²"
5108,4 phòng,30 m²,70 triệu/m²
5109,4 phòng,52 m²,"61,54 triệu/m²"
5110,3 phòng,52 m²,"74,04 triệu/m²"
5111,4 phòng,42 m²,"82,14 triệu/m²"
5112,3 phòng,32 m²,"85,94 triệu/m²"
5113,4 phòng,40 m²,"42,5 triệu/m²"
5114,3 phòng,32.6 m²,"42,5 triệu/m²"
5115,6 phòng,45 m²,"264,44 triệu/m²"
5116,1 phòng,40 m²,"35,75 triệu/m²"
5117,6 phòng,51 m²,"58,43 triệu/m²"
5118,3 phòng,32 m²,"56,25 triệu/m²"
5119,5 phòng,74 m²,"93,24 triệu/m²"
5120,6 phòng,45 m²,"73,33 triệu/m²"
5121,3 phòng,32 m²,50 triệu/m²
5122,8 phòng,55 m²,100 triệu/m²
5123,3 phòng,28 m²,"105,36 triệu/m²"
5124,3 phòng,30 m²,"118,33 triệu/m²"
5125,6 phòng,54 m²,"96,3 triệu/m²"
5126,2 phòng,28 m²,"77,86 triệu/m²"
5127,3 phòng,28 m²,"105,36 triệu/m²"
5128,4 phòng,40 m²,"97,5 triệu/m²"
5129,2 phòng,85 m²,42 triệu/m²
5130,6 phòng,60 m²,"77,5 triệu/m²"
5131,3 phòng,30 m²,95 triệu/m²
5132,4 phòng,47 m²,"89,36 triệu/m²"
5133,6 phòng,80 m²,"161,25 triệu/m²"
5134,3 phòng,14 m²,"97,14 triệu/m²"
5135,3 phòng,28 m²,"83,93 triệu/m²"
5136,4 phòng,34 m²,"80,88 triệu/m²"
5137,4 phòng,58 m²,"102,59 triệu/m²"
5138,4 phòng,65 m²,"69,23 triệu/m²"
5139,4 phòng,28 m²,"105,36 triệu/m²"
5140,5 phòng,50 m²,72 triệu/m²
5141,2 phòng,16 m²,"88,75 triệu/m²"
5142,3 phòng,40 m²,"63,75 triệu/m²"
5143,2 phòng,22 m²,"81,82 triệu/m²"
5144,3 phòng,36 m²,"36,11 triệu/m²"
5145,3 phòng,40 m²,"51,25 triệu/m²"
5146,3 phòng,32 m²,"89,06 triệu/m²"
5147,5 phòng,4141 m²,917.652 đ/m²
5148,3 phòng,25 m²,116 triệu/m²
5149,4 phòng,50 m²,62 triệu/m²
5150,3 phòng,25 m²,88 triệu/m²
5151,3 phòng,14 m²,"96,43 triệu/m²"
5152,4 phòng,51 m²,"76,47 triệu/m²"
5153,3 phòng,30 m²,"83,33 triệu/m²"
5154,2 phòng,26 m²,"57,69 triệu/m²"
5155,3 phòng,18 m²,"116,67 triệu/m²"
5156,5 phòng,176 m²,"67,05 triệu/m²"
5157,6 phòng,60 m²,425 triệu/m²
5158,3 phòng,40 m²,"82,5 triệu/m²"
5159,5 phòng,32 m²,"104,69 triệu/m²"
5160,3 phòng,31 m²,"100,65 triệu/m²"
5161,3 phòng,30 m²,"126,67 triệu/m²"
5162,4 phòng,38 m²,"81,58 triệu/m²"
5163,4 phòng,33 m²,"90,91 triệu/m²"
5164,1 phòng,49 m²,"43,88 triệu/m²"
5165,7 phòng,90 m²,"116,67 triệu/m²"
5166,6 phòng,50 m²,250 triệu/m²
5167,10 phòng,65 m²,"192,31 triệu/m²"
5168,3 phòng,37 m²,"86,49 triệu/m²"
5169,4 phòng,40 m²,95 triệu/m²
5170,2 phòng,40 m²,"92,5 triệu/m²"
5171,3 phòng,150 m²,120 triệu/m²
5172,5 phòng,35 m²,70 triệu/m²
5173,4 phòng,32 m²,"67,19 triệu/m²"
5174,6 phòng,31 m²,"93,55 triệu/m²"
5175,5 phòng,60 m²,"63,33 triệu/m²"
5176,3 phòng,60 m²,150 triệu/m²
5177,4 phòng,70 m²,"164,29 triệu/m²"
5178,4 phòng,33 m²,"106,06 triệu/m²"
5179,4 phòng,100 m²,75 triệu/m²
5180,4 phòng,47 m²,"62,77 triệu/m²"
5181,4 phòng,35 m²,"84,29 triệu/m²"
5182,4 phòng,35 m²,70 triệu/m²
5183,3 phòng,35 m²,"84,29 triệu/m²"
5184,3 phòng,25 m²,88 triệu/m²
5185,10 phòng,60 m²,"198,33 triệu/m²"
5186,3 phòng,31 m²,"82,26 triệu/m²"
5187,1 phòng,39 m²,"148,72 triệu/m²"
5188,2 phòng,29 m²,"139,66 triệu/m²"
5189,4 phòng,32 m²,"89,06 triệu/m²"
5190,3 phòng,35 m²,"83,43 triệu/m²"
5191,4 phòng,38 m²,"106,58 triệu/m²"
5192,4 phòng,30 m²,"103,33 triệu/m²"
5193,2 phòng,25 m²,76 triệu/m²
5194,6 phòng,48 m²,"93,75 triệu/m²"
5195,3 phòng,25 m²,74 triệu/m²
5196,2 phòng,67 m²,"116,42 triệu/m²"
5197,3 phòng,35 m²,"72,86 triệu/m²"
5198,3 phòng,30 m²,125 triệu/m²
5199,1 phòng,125 m²,"63,2 triệu/m²"
5200,10 phòng,92 m²,"114,13 triệu/m²"
5201,3 phòng,31 m²,"87,1 triệu/m²"
5202,6 phòng,40 m²,"77,5 triệu/m²"
5203,3 phòng,31 m²,"87,1 triệu/m²"
5204,4 phòng,45 m²,"146,67 triệu/m²"
5205,3 phòng,28 m²,"105,36 triệu/m²"
5206,3 phòng,28 m²,"83,93 triệu/m²"
5207,3 phòng,35 m²,100 triệu/m²
5208,4 phòng,40 m²,"131,25 triệu/m²"
5209,4 phòng,35 m²,"155,71 triệu/m²"
5210,5 phòng,49 m²,"89,8 triệu/m²"
5211,6 phòng,37 m²,100 triệu/m²
5212,6 phòng,30 m²,95 triệu/m²
5213,1 phòng,25 m²,64 triệu/m²
5214,3 phòng,60 m²,48 triệu/m²
5215,3 phòng,24 m²,"95,83 triệu/m²"
5216,3 phòng,30 m²,"103,33 triệu/m²"
5217,4 phòng,55 m²,"105,45 triệu/m²"
5218,4 phòng,30 m²,"93,33 triệu/m²"
5219,6 phòng,52 m²,"92,31 triệu/m²"
5220,4 phòng,38 m²,"78,68 triệu/m²"
5221,2 phòng,120 m²,"70,83 triệu/m²"
5222,3 phòng,90 m²,"54,44 triệu/m²"
5223,nhiều hơn 10 phòng,96 m²,"135,42 triệu/m²"
5224,3 phòng,45 m²,"47,78 triệu/m²"
5225,4 phòng,38 m²,"42,89 triệu/m²"
5226,4 phòng,50 m²,104 triệu/m²
5227,4 phòng,33 m²,"193,94 triệu/m²"
5228,2 phòng,30 m²,"61,67 triệu/m²"
5229,2 phòng,23 m²,"95,65 triệu/m²"
5230,7 phòng,60 m²,"198,33 triệu/m²"
5231,3 phòng,36 m²,"66,67 triệu/m²"
5232,1 phòng,24 m²,"66,67 triệu/m²"
5233,4 phòng,30 m²,"66,67 triệu/m²"
5234,4 phòng,33 m²,"303,03 triệu/m²"
5235,4 phòng,40 m²,80 triệu/m²
5236,1 phòng,85 m²,"294,12 triệu/m²"
5237,3 phòng,40 m²,"92,5 triệu/m²"
5238,2 phòng,32 m²,"87,5 triệu/m²"
5239,3 phòng,26 m²,"103,85 triệu/m²"
5240,4 phòng,66 m²,"65,15 triệu/m²"
5241,3 phòng,34 m²,"81,47 triệu/m²"
5242,2 phòng,24.5 m²,"137,5 triệu/m²"
5243,nhiều hơn 10 phòng,130 m²,"126,92 triệu/m²"
5244,5 phòng,37 m²,"94,59 triệu/m²"
5245,3 phòng,28 m²,101.785 đ/m²
5246,3 phòng,48 m²,"80,21 triệu/m²"
5247,5 phòng,45 m²,110 triệu/m²
5248,2 phòng,46 m²,"47,83 triệu/m²"
5249,3 phòng,45 m²,"108,89 triệu/m²"
5250,4 phòng,40 m²,"46,25 triệu/m²"
5251,4 phòng,35 m²,"131,43 triệu/m²"
5252,3 phòng,30 m²,"103,33 triệu/m²"
5253,3 phòng,35 m²,"81,43 triệu/m²"
5254,4 phòng,35 m²,100 triệu/m²
5255,3 phòng,39 m²,"117,95 triệu/m²"
5256,3 phòng,36 m²,"103,06 triệu/m²"
5257,2 phòng,43 m²,"67,21 triệu/m²"
5258,4 phòng,40 m²,"107,5 triệu/m²"
5259,4 phòng,35 m²,"42,83 triệu/m²"
5260,4 phòng,45 m²,"115,56 triệu/m²"
5261,3 phòng,34 m²,"102,94 triệu/m²"
5262,6 phòng,50 m²,113 triệu/m²
5263,4 phòng,30 m²,95 triệu/m²
5264,4 phòng,32 m²,"93,75 triệu/m²"
5265,6 phòng,42 m²,"78,57 triệu/m²"
5266,4 phòng,81 m²,"80,86 triệu/m²"
5267,5 phòng,117 m²,"98,29 triệu/m²"
5268,6 phòng,52 m²,"74,04 triệu/m²"
5269,2 phòng,44 m²,"79,55 triệu/m²"
5270,3 phòng,32 m²,"54,94 triệu/m²"
5271,4 phòng,45 m²,"66,67 triệu/m²"
5272,6 phòng,40 m²,"107,5 triệu/m²"
5273,6 phòng,43 m²,"120,93 triệu/m²"
5274,2 phòng,16 m²,"84,38 triệu/m²"
5275,4 phòng,34 m²,"282,35 triệu/m²"
5276,3 phòng,33 m²,"113,03 triệu/m²"
5277,4 phòng,32 m²,"79,69 triệu/m²"
5278,4 phòng,33 m²,"60,61 triệu/m²"
5279,3 phòng,40 m²,70 triệu/m²
5280,3 phòng,40 m²,80 triệu/m²
5281,3 phòng,32 m²,"47,88 triệu/m²"
5282,3 phòng,35 m²,2 đ/m²
5283,8 phòng,70 m²,"382,86 triệu/m²"
5284,4 phòng,45 m²,"91,11 triệu/m²"
5285,6 phòng,28 m²,"105,36 triệu/m²"
5286,4 phòng,35 m²,"132,86 triệu/m²"
5287,4 phòng,44 m²,"152,27 triệu/m²"
5288,3 phòng,52 m²,"110,58 triệu/m²"
5289,4 phòng,56 m²,"55,36 triệu/m²"
5290,nhiều hơn 10 phòng,60 m²,"131,67 triệu/m²"
5291,3 phòng,37 m²,"97,3 triệu/m²"
5292,5 phòng,66 m²,"56,06 triệu/m²"
5293,5 phòng,35 m²,"106,29 triệu/m²"
5294,4 phòng,32 m²,"98,44 triệu/m²"
5295,3 phòng,35 m²,"2,14 triệu/m²"
5296,3 phòng,31 m²,"95,16 triệu/m²"
5297,3 phòng,40 m²,74 triệu/m²
5298,4 phòng,50 m²,78 triệu/m²
5299,3 phòng,28 m²,"89,29 triệu/m²"
5300,3 phòng,60 m²,"51,67 triệu/m²"
5301,3 phòng,30 m²,"83,33 triệu/m²"
5302,2 phòng,18 m²,"104,44 triệu/m²"
5303,6 phòng,70 m²,"97,14 triệu/m²"
5304,4 phòng,45 m²,"116,67 triệu/m²"
5305,2 phòng,35 m²,"71,43 triệu/m²"
5306,4 phòng,31 m²,"96,77 triệu/m²"
5307,2 phòng,50 m²,220 triệu/m²
5308,4 phòng,56 m²,100 triệu/m²
5309,3 phòng,46.3 m²,"53,26 triệu/m²"
5310,4 phòng,50 m²,88 triệu/m²
5311,4 phòng,52 m²,"59,62 triệu/m²"
5312,4 phòng,57 m²,"56,14 triệu/m²"
5313,4 phòng,30 m²,125 triệu/m²
5314,4 phòng,50 m²,134 triệu/m²
5315,3 phòng,25 m²,74 triệu/m²
5316,3 phòng,30 m²,"98,33 triệu/m²"
5317,3 phòng,30 m²,"107,33 triệu/m²"
5318,2 phòng,26 m²,"59,62 triệu/m²"
5319,3 phòng,36 m²,"83,33 triệu/m²"
5320,5 phòng,46 m²,"56,52 triệu/m²"
5321,4 phòng,42 m²,"126,19 triệu/m²"
5322,3 phòng,42 m²,"64,29 triệu/m²"
5323,3 phòng,30 m²,90 triệu/m²
5324,3 phòng,33 m²,"93,94 triệu/m²"
5325,3 phòng,34 m²,"83,24 triệu/m²"
5326,4 phòng,100 m²,79 triệu/m²
5327,4 phòng,30 m²,"116,67 triệu/m²"
5328,4 phòng,40 m²,60 triệu/m²
5329,6 phòng,35 m²,70 triệu/m²
5330,4 phòng,36 m²,75 triệu/m²
5331,3 phòng,32 m²,"71,88 triệu/m²"
5332,3 phòng,500 m²,"2,8 triệu/m²"
5333,5 phòng,40 m²,"101,25 triệu/m²"
5334,7 phòng,100 m²,198 triệu/m²
5335,4 phòng,70 m²,140 triệu/m²
5336,nhiều hơn 10 phòng,54 m²,"92,59 triệu/m²"
5337,4 phòng,210 m²,"115,24 triệu/m²"
5338,2 phòng,34 m²,"85,29 triệu/m²"
5339,3 phòng,90 m²,"127,78 triệu/m²"
5340,3 phòng,50 m²,80 triệu/m²
5341,3 phòng,35 m²,"95,71 triệu/m²"
5342,3 phòng,40 m²,80 triệu/m²
5343,5 phòng,45 m²,"95,56 triệu/m²"
5344,3 phòng,25 m²,94 triệu/m²
5345,2 phòng,40 m²,"217,5 triệu/m²"
5346,4 phòng,40 m²,75 triệu/m²
5347,6 phòng,55 m²,"67,27 triệu/m²"
5348,2 phòng,130 m²,"292,31 triệu/m²"
5349,4 phòng,38 m²,"86,84 triệu/m²"
5350,4 phòng,48 m²,"164,58 triệu/m²"
5351,4 phòng,45 m²,"144,44 triệu/m²"
5352,4 phòng,36 m²,75 triệu/m²
5353,3 phòng,36 m²,"73,06 triệu/m²"
5354,3 phòng,36 m²,"94,44 triệu/m²"
5355,4 phòng,40 m²,"93,75 triệu/m²"
5356,nhiều hơn 10 phòng,68 m²,"66,18 triệu/m²"
5357,10 phòng,40 m²,120 triệu/m²
5358,4 phòng,74 m²,"105,41 triệu/m²"
5359,4 phòng,30 m²,"98,33 triệu/m²"
5360,4 phòng,85 m²,"76,47 triệu/m²"
5361,2 phòng,21 m²,"71,43 triệu/m²"
5362,3 phòng,24 m²,"66,67 triệu/m²"
5363,3 phòng,55 m²,"106,36 triệu/m²"
5364,1 phòng,30 m²,"28,33 triệu/m²"
5365,5 phòng,50 m²,99 triệu/m²
5366,3 phòng,32 m²,"117,19 triệu/m²"
5367,3 phòng,30 m²,"78,33 triệu/m²"
5368,2 phòng,27 m²,"92,59 triệu/m²"
5369,3 phòng,33 m²,"130,3 triệu/m²"
5370,3 phòng,32 m²,"98,44 triệu/m²"
5371,3 phòng,30 m²,"78,33 triệu/m²"
5372,5 phòng,50 m²,90 triệu/m²
5373,2 phòng,35 m²,"61,43 triệu/m²"
5374,8 phòng,108 m²,"185,19 triệu/m²"
5375,3 phòng,21 m²,"6,43 triệu/m²"
5376,3 phòng,32 m²,"53,59 triệu/m²"
5377,4 phòng,32 m²,"104,69 triệu/m²"
5378,6 phòng,50 m²,166 triệu/m²
5379,2 phòng,40 m²,"84,5 triệu/m²"
5380,4 phòng,50 m²,"57,6 triệu/m²"
5381,5 phòng,50 m²,190 triệu/m²
5382,5 phòng,56 m²,"164,29 triệu/m²"
5383,4 phòng,39 m²,"76,92 triệu/m²"
5384,4 phòng,68 m²,"107,35 triệu/m²"
5385,6 phòng,51 m²,"284,31 triệu/m²"
5386,4 phòng,40 m²,70 triệu/m²
5387,3 phòng,32 m²,"98,44 triệu/m²"
5388,5 phòng,31 m²,"241,94 triệu/m²"
5389,6 phòng,60 m²,400 triệu/m²
5390,2 phòng,35 m²,"72,86 triệu/m²"
5391,2 phòng,34 m²,"85,29 triệu/m²"
5392,3 phòng,36 m²,"80,56 triệu/m²"
5393,4 phòng,59 m²,"66,1 triệu/m²"
5394,3 phòng,30 m²,"98,33 triệu/m²"
5395,3 phòng,47 m²,"70,21 triệu/m²"
5396,3 phòng,25 m²,74 triệu/m²
5397,5 phòng,60 m²,"71,67 triệu/m²"
5398,3 phòng,30 m²,"73,33 triệu/m²"
5399,3 phòng,35 m²,80 triệu/m²
5400,3 phòng,25 m²,74 triệu/m²
5401,4 phòng,18 m²,"75,56 triệu/m²"
5402,3 phòng,30 m²,"68,33 triệu/m²"
